epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,148.32,1.98106,2.25045,1.47142,0.01745,0.33615,0.28301,0.08721,2.8005,3.50181,2.14705,0.000118893,0.000118893,0.000118893
42,151.87,2.14175,2.29021,1.61008,0.01745,0.33615,0.28301,0.08721,2.8005,3.50181,2.14705,0.000110264,0.000110264,0.000110264
43,155.589,1.85729,2.20844,1.41271,0.01707,0.33615,0.28299,0.08761,2.77159,3.48417,2.11739,0.00010107,0.00010107,0.00010107
44,159.596,1.96043,2.28254,1.54485,0.01707,0.33615,0.28299,0.08761,2.77159,3.48417,2.11739,9.13102e-05,9.13102e-05,9.13102e-05
45,163.22,1.83684,2.25897,1.40733,0.01722,0.33615,0.28342,0.09743,2.74558,3.45789,2.07705,8.09843e-05,8.09843e-05,8.09843e-05
46,166.55,1.73293,2.19509,1.37693,0.01722,0.33615,0.28342,0.09743,2.74558,3.45789,2.07705,7.00924e-05,7.00924e-05,7.00924e-05
47,169.94,1.78058,2.24452,1.40811,0.01803,0.34966,0.28511,0.09948,2.71128,3.43778,2.02982,5.86347e-05,5.86347e-05,5.86347e-05
48,173.172,1.75413,2.1828,1.39213,0.01803,0.34966,0.28511,0.09948,2.71128,3.43778,2.02982,4.66111e-05,4.66111e-05,4.66111e-05
49,176.473,1.81682,2.09083,1.30035,0.01815,0.34966,0.28845,0.09976,2.69681,3.42296,2.02564,3.40216e-05,3.40216e-05,3.40216e-05
50,179.943,1.85424,2.12895,1.4112,0.01815,0.34966,0.28845,0.09976,2.69681,3.42296,2.02564,2.08663e-05,2.08663e-05,2.08663e-05
